source csv,EER,FAR,FRR,sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold
results\20\xception_sbi_ucf\cascade_threshold_sweep_xception_sbi_ucf_dfdc.csv,0.320323,0.320323,0.320323,2,3,1,0.95,0.25,0.35,0.35,0.5,0.4
results\20\xception_sbi_ucf\cascade_threshold_sweep_xception_sbi_ucf_faceforensics.csv,0.0746525,0.074653,0.074652,2,3,1,0.4,0.35,0.75,0.75,0.9,0.1
results\20\xception_ucf\cascade_threshold_sweep_xception_ucf_celebdf.csv,0.2517945,0.251601,0.251988,-1,2,1,-1,-1,0.8,0.8,0.55,0.2
results\20\xception_ucf\cascade_threshold_sweep_xception_ucf_combined.csv,0.2465105,0.24642,0.246601,-1,2,1,-1,-1,0.55,0.55,0.8,0.2
results\20\xception_ucf\cascade_threshold_sweep_xception_ucf_dfdc.csv,0.2976575,0.297624,0.297691,-1,2,1,-1,-1,0.45,0.45,0.6,0.4
results\20\xception_ucf\cascade_threshold_sweep_xception_ucf_faceforensics.csv,0.027312,0.027277,0.027347,-1,2,1,-1,-1,0.6,0.6,0.9,0.55
results\20\xception_ucf_sbi\cascade_threshold_sweep_xception_ucf_sbi_celebdf.csv,0.2246395,0.224639,0.22464,3,2,1,0.8,0.8,0.45,0.15,0.6,0.5
results\20\xception_ucf_sbi\cascade_threshold_sweep_xception_ucf_sbi_combined.csv,0.2432605,0.24326,0.243261,3,2,1,0.3,0.3,0.5,0.3,1,0.3
results\20\xception_ucf_sbi\cascade_threshold_sweep_xception_ucf_sbi_dfdc.csv,0.3262285,0.326228,0.326229,3,2,1,0.2,0.2,0.95,0.2,0.5,0.45
results\20\xception_ucf_sbi\cascade_threshold_sweep_xception_ucf_sbi_faceforensics.csv,0.031003,0.031003,0.031003,3,2,1,0.25,0.25,0.9,0.65,0.75,0.6
