sbi_stage,ucf_stage,xception_stage,sbi_upper_threshold,sbi_lower_threshold,ucf_upper_threshold,ucf_lower_threshold,xception_upper_threshold,xception_lower_threshold,Inference Time (ms),FAR Limit,FAR,FRR
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.280,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.285,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.290,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.295,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.300,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.305,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.310,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.315,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.320,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.325,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.330,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.335,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.340,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.345,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.350,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.355,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.360,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.365,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.370,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.375,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.85,0.85,114.70,0.380,0.180357,0.007143
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.385,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.390,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.395,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.400,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.405,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.410,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.415,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.420,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.425,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.430,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.435,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.440,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.445,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.450,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.455,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.460,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.465,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.470,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.475,0.382143,0.0
-1,-1,1,-1,-1,-1,-1,0.95,0.95,114.70,0.480,0.382143,0.0
