Detector,Dataset,Threshold,FAR,FRR,alpha,beta,FAR-alpha,FRR-beta,K_value
SBI,Celeb-DF,0.098,0.002941,0.898876,-0.10533729943174792,-0.49069260329845227,0.10827829943174792,1.3895686032984522,0.15046012530890557
SBI,Celeb-DF,0.099,0.002941,0.893258,-0.10533729943174792,-0.49069260329845227,0.10827829943174792,1.3839506032984523,0.14985181782269802
SBI,Celeb-DF,0.1,0.002941,0.893258,-0.10533729943174792,-0.49069260329845227,0.10827829943174792,1.3839506032984523,0.14985181782269802
SBI,Celeb-DF,0.101,0.002941,0.893258,-0.10533729943174792,-0.49069260329845227,0.10827829943174792,1.3839506032984523,0.14985181782269802
SBI,Celeb-DF,0.102,0.005882,0.88764,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3783326032984522,0.15329718652279117
SBI,Celeb-DF,0.103,0.005882,0.88764,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3783326032984522,0.15329718652279117
SBI,Celeb-DF,0.104,0.005882,0.88764,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3783326032984522,0.15329718652279117
SBI,Celeb-DF,0.105,0.005882,0.88764,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3783326032984522,0.15329718652279117
SBI,Celeb-DF,0.106,0.005882,0.88764,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3783326032984522,0.15329718652279117
SBI,Celeb-DF,0.107,0.005882,0.88764,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3783326032984522,0.15329718652279117
SBI,Celeb-DF,0.108,0.005882,0.88764,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3783326032984522,0.15329718652279117
SBI,Celeb-DF,0.109,0.005882,0.88764,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3783326032984522,0.15329718652279117
SBI,Celeb-DF,0.11,0.005882,0.88764,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3783326032984522,0.15329718652279117
SBI,Celeb-DF,0.111,0.005882,0.88764,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3783326032984522,0.15329718652279117
SBI,Celeb-DF,0.112,0.005882,0.882022,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3727146032984523,0.15267235649858363
SBI,Celeb-DF,0.113,0.005882,0.876404,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3670966032984522,0.15204752647437605
SBI,Celeb-DF,0.114,0.005882,0.876404,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3670966032984522,0.15204752647437605
SBI,Celeb-DF,0.115,0.005882,0.876404,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3670966032984522,0.15204752647437605
SBI,Celeb-DF,0.116,0.005882,0.876404,-0.10533729943174792,-0.49069260329845227,0.11121929943174792,1.3670966032984522,0.15204752647437605
